length,deleting,Class
600,0.0001,Set
602,0.0003,Vector
602,0.0001,Set
604,0.0003,Vector
604,0.0001,Set
606,0.0003,Vector
606,0.0001,Set
608,0.0003,Vector
608,0.0001,Set
610,0.0003,Vector
610,0.0001,Set
612,0.0003,Vector
612,0.0001,Set
614,0.0003,Vector
614,0.0001,Set
616,0.0003,Vector
616,0.0001,Set
618,0.0003,Vector
618,0.0001,Set
620,0.0002,Vector
620,0.0001,Set
622,0.0003,Vector
622,0.0001,Set
624,0.0002,Vector
624,0.0001,Set
626,0.0003,Vector
626,0.0002,Set
628,0.0003,Vector
628,0.0001,Set
630,0.0002,Vector
630,0.0001,Set
632,0.0003,Vector
632,0.0001,Set
634,0.0003,Vector
634,0.0001,Set
636,0.0003,Vector
636,0.0001,Set
638,0.0003,Vector
638,0.0001,Set
640,0.0003,Vector
640,0.0001,Set
642,0.0003,Vector
642,0.0001,Set
644,0.0003,Vector
644,0.0001,Set
646,0.0003,Vector
646,0.0001,Set
648,0.0003,Vector
648,0.0001,Set
650,0.0003,Vector
650,0.0001,Set
652,0.0003,Vector
652,0.0002,Set
654,0.0003,Vector
654,0.0001,Set
656,0.0003,Vector
656,0.0002,Set
658,0.0003,Vector
658,0.0001,Set
660,0.0003,Vector
660,0.0001,Set
662,0.0003,Vector
662,0.0002,Set
664,0.0003,Vector
664,0.0001,Set
666,0.0003,Vector
666,0.0001,Set
668,0.0003,Vector
668,0.0001,Set
670,0.0004,Vector
670,0.0001,Set
672,0.0003,Vector
672,0.0001,Set
674,0.0003,Vector
674,0.0001,Set
676,0.0003,Vector
676,0.0002,Set
678,0.0003,Vector
678,0.0002,Set
680,0.0003,Vector
680,0.0001,Set
682,0.0003,Vector
682,0.0001,Set
684,0.0003,Vector
684,0.0001,Set
686,0.0003,Vector
686,0.0001,Set
688,0.0003,Vector
688,0.0001,Set
690,0.0003,Vector
690,0.0001,Set
692,0.0003,Vector
692,0.0001,Set
694,0.0003,Vector
694,0.0001,Set
696,0.0003,Vector
696,0.0001,Set
698,0.0003,Vector
698,0.0001,Set
700,0.0003,Vector
700,0.0001,Set
702,0.0004,Vector
702,0.0001,Set
704,0.0003,Vector
704,0.0001,Set
706,0.0003,Vector
706,0.0001,Set
708,0.0003,Vector
708,0.0001,Set
710,0.0003,Vector
710,0.0001,Set
712,0.0003,Vector
712,0.0002,Set
714,0.0004,Vector
714,0.0001,Set
716,0.0003,Vector
716,0.0001,Set
718,0.0003,Vector
718,0.0001,Set
720,0.0003,Vector
720,0.0001,Set
722,0.0003,Vector
722,0.0001,Set
